Month,Year,Primary Practice County,Foreign Language Proficiency,Count of Licensees
March,2016,Alameda,Afrikaans,3
March,2016,Alameda,American Sign Language(Asl),3
March,2016,Alameda,Arabic,14
March,2016,Alameda,Armenian,9
March,2016,Alameda,Cambodian,1
March,2016,Alameda,Cantonese,151
March,2016,Alameda,Croatian,1
March,2016,Alameda,Decline To State,244
March,2016,Alameda,Farsi,68
March,2016,Alameda,Formosan (Amis),1
March,2016,Alameda,French,154
March,2016,Alameda,French Creole,4
March,2016,Alameda,German,61
March,2016,Alameda,Greek,4
March,2016,Alameda,Gujarati,42
March,2016,Alameda,Hebrew,15
March,2016,Alameda,Hindi,327
March,2016,Alameda,Hmong,2
March,2016,Alameda,Hungarian,2
March,2016,Alameda,Ilacano,10
March,2016,Alameda,Indonesian,1
March,2016,Alameda,Italian,34
March,2016,Alameda,Japanese,14
March,2016,Alameda,Korean,29
March,2016,Alameda,Lao,1
March,2016,Alameda,Mandarin,239
March,2016,Alameda,Mien,1
March,2016,Alameda,No Bubble Marked,297
March,2016,Alameda,Other,40
March,2016,Alameda,Other Chinese Languages,31
March,2016,Alameda,Other Non English,73
March,2016,Alameda,Other Sign Language,2
March,2016,Alameda,Polish,7
March,2016,Alameda,Portuguese,27
March,2016,Alameda,Punjabi,114
March,2016,Alameda,Russian,43
March,2016,Alameda,Samoan,1
March,2016,Alameda,Scandinavian Languages,3
March,2016,Alameda,Serbian,1
March,2016,Alameda,Spanish,711
March,2016,Alameda,Swahili,1
March,2016,Alameda,Tagalog,62
March,2016,Alameda,Telugu,39
March,2016,Alameda,Thai,5
March,2016,Alameda,Turkish,7
March,2016,Alameda,Ukrainian,4
March,2016,Alameda,Vietnamese,129
March,2016,Alameda,Yiddish,1
March,2016,Alameda,Yoruba,3
March,2016,Alpine,French,1
March,2016,Alpine,Spanish,1
March,2016,Amador,Croatian,1
March,2016,Amador,Decline To State,7
March,2016,Amador,Farsi,1
March,2016,Amador,French,1
March,2016,Amador,German,1
March,2016,Amador,Hindi,4
March,2016,Amador,Italian,1
March,2016,Amador,Mandarin,1
March,2016,Amador,No Bubble Marked,8
March,2016,Amador,Other Non English,1
March,2016,Amador,Punjabi,1
March,2016,Amador,Serbian,1
March,2016,Amador,Spanish,7
March,2016,Amador,Vietnamese,1
March,2016,Butte,Afrikaans,2
March,2016,Butte,Arabic,3
March,2016,Butte,Cantonese,3
March,2016,Butte,Croatian,1
March,2016,Butte,Decline To State,41
March,2016,Butte,Farsi,2
March,2016,Butte,French,9
March,2016,Butte,German,8
March,2016,Butte,Greek,1
March,2016,Butte,Gujarati,1
March,2016,Butte,Hindi,18
March,2016,Butte,Italian,4
March,2016,Butte,Korean,4
March,2016,Butte,Mandarin,4
March,2016,Butte,No Bubble Marked,43
March,2016,Butte,Other,4
March,2016,Butte,Other Chinese Languages,1
March,2016,Butte,Other Non English,5
March,2016,Butte,Punjabi,10
March,2016,Butte,Russian,3
March,2016,Butte,Scandinavian Languages,1
March,2016,Butte,Serbian,1
March,2016,Butte,Spanish,55
March,2016,Butte,Tagalog,3
March,2016,Butte,Telugu,2
March,2016,Butte,Thai,2
March,2016,Butte,Vietnamese,6
March,2016,Butte,Yoruba,1
March,2016,Calaveras,Decline To State,4
March,2016,Calaveras,Farsi,2
March,2016,Calaveras,Ilacano,1
March,2016,Calaveras,No Bubble Marked,14
March,2016,Calaveras,Other,1
March,2016,Calaveras,Polish,1
March,2016,Calaveras,Portuguese,1
March,2016,Calaveras,Spanish,10
March,2016,Calaveras,Tagalog,2
March,2016,Colusa,Decline To State,1
March,2016,Colusa,German,1
March,2016,Colusa,No Bubble Marked,1
March,2016,Colusa,Spanish,4
March,2016,Contra Costa,Afrikaans,1
March,2016,Contra Costa,American Sign Language(Asl),4
March,2016,Contra Costa,Amharic,1
March,2016,Contra Costa,Arabic,20
March,2016,Contra Costa,Armenian,7
March,2016,Contra Costa,Cambodian,2
March,2016,Contra Costa,Cantonese,51
March,2016,Contra Costa,Croatian,1
March,2016,Contra Costa,Decline To State,167
March,2016,Contra Costa,Farsi,57
March,2016,Contra Costa,Fijian,2
March,2016,Contra Costa,French,85
March,2016,Contra Costa,German,49
March,2016,Contra Costa,Greek,4
March,2016,Contra Costa,Gujarati,12
