County Code,Record ID,Legal Name,Facility Name,Physical Address,Physical Address 2,Mailing Address,Mailing Address 2,Physical City,Mailing City,Physical State,Mailing State,Physical Zip,Mailing Zip,Facility Phone,Type of Application,Service Type,Client/Patient Capacity,Expiration Date,Target Population
44,02 099 021,"7th AVENUE CENTER, LLC",7th Avenue Center,1171 Seventh Avenue                      ,,1171 Seventh Avenue                      ,,Santa Cruz,Santa Cruz,CA,CA,95062,95062,(831) 476-1700,Licensed,MHRC,99,44577,CO-ED/ADULT
37,02 125 008,"ALPINE SPECIAL TREATMENT CENTER, LLC",Alpine Special Treatment Center,2120 Alpine Boulevard,,2120 Alpine Boulevard,,Alpine,Alpine,CA,CA,91901,91901,(619) 445-2644                       ,Licensed,MHRC,125,44630,CO-ED/ADULT
19,20 006 050,BALANCE TREATMENT CENTER,Balance Treatment Center,26039 Mulholland Highway,,4505 Las Virgenes Road,Suite 202,Calabasas,Calabasas,CA,CA,91302,91302,"(818) 880-8100, (818) 540-5912    FD main line",Licensed,MHRC,6,44318,CO-ED/ADULT
4,10 016 001,BUTTE COUNTY BEHAVIORAL HEALTH,Butte County  Mental Health Services,592 Rio Lindo Avenue,,592 Rio Lindo Avenue,,Chico,Chico,CA,CA,95926,95926,(530) 891-2775,Licensed,PHF,16,44957,CO-ED/ADULT
24,02 098 022,CALIFORNIA PSYCHIATRIC TRANSITIONS,California Psychiatric Transitions              ,9226 N. Hinton Avenue          ,,P.O. Box 339,,Delhi,Delhi,CA,CA,95315,95315,(209) 667-9304,Licensed,MHRC,98,44396,CO-ED/ADULT
21,02 089 023,"MENTAL HEALTH MANAGEMENT I, INC.",Canyon Manor,655 Canyon Road,,P.O. Box 94948,,Novato,Novato,CA,CA,94947,94947,(415) 892-1628 ,Licensed,MHRC,89,44648,CO-ED/ADULT
51,2 044 042,CEDAR GROVE,Cedar Grove,1251 Stabler Lane,,1251 Stabler Lane,,Yuba City,Yuba City,CA,CA,95993,95993,(530) 418-0500,Licensed,MHRC,44,44468,CO-ED/ADULT
10,20 016 058,"CENTRAL STAR BEHAVIORAL HEALTH, INC.",Central Star  Psychiatric Health Facility,4411 E. Kings Canyon Road,,4411 E. Kings Canyon Road,,Fresno,Fresno,CA,CA,93702,93702,(559) 600-2382,Licensed,PHF,16,44303,CO-ED/Children
42,2 034 043,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Champion Healing Center,303 South C street,,303 South C Street,,Lompoc,Lompoc,CA,CA,93436,93436,(805) 308-8720,Licensed,MHRC,34,44530,CO-ED /Adult
31,20 016 061,"NORTH VALLEY BEHAVIORAL HEALTH, LLC",Cirby Hills Behavioral Health,101 Cirby Hills Drive,,101 Cirby Hills Drive,,Roseville,Roseville,CA,CA,95678,95678,(916) 787-8900,Licensed,PHF,16,44835,CO-ED/ADULT
41,02 068 015,TELECARE CORPORATION,"Cordilleras Mental Health Center
",200 Edmonds Road,,200 Edmonds Road,,Redwood City,Redwood City,CA,CA,94062,94062,(650) 367-1890,Licensed,MHRC,68,44440,CO-ED/ADULT
12,02 042 013,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Behavioral Health Center,2370 Buhne Street,,2370 Buhne Street,,Eureka,Eureka,CA,CA,95501,95501,(707) 442-5721,Licensed,MHRC,42,44523,CO-ED/ADULT
43,02 100 017,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Behavioral Health Center - San Jose,1425 Fruitdale Avenue,,1425 Fruitdale Avenue,,San Jose,San Jose,CA,CA,95128,95128,(408) 275-1010,Licensed,MHRC,100,44627,CO-ED/ADULT
15,02 055 012,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Behavioral Health Center-Bakersfield,6700 Eucalyptus Drive,Suite A,6700 Eucalyptus Drive,Suite A,Bakersfield,Bakersfield,CA,CA,93306,93306,(661) 363-8127,Licensed,MHRC,55,44469,CO-ED/ADULT
28,02 054 010,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood C.E.N.T.E.R.,295 Pine Breeze Drive,,295 Pine Breeze Drive,,Angwin,Angwin,CA,CA,94508,94508,(707) 965-2461,Licensed,MHRC,54,44643,CO-ED/ADULT
34,02 054 029,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Center,2600 Stockton Boulevard,,2600 Stockton Boulevard,,Sacramento,Sacramento,CA,CA,95817,95817,(916) 452-1431,Licensed,MHRC,54,44332,CO-ED/ADULT
37,2 040 034,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Chula Vista,960 3rd Avenue                        ,,960 3rd Avenue                        ,,Chula Vista,Chula Vista,CA,CA,91911,91911,(619) 814-2379,Licensed,MHRC,40,44400,CO-ED/ADULT
15,02 016 045,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Psychiatric Health,6700 Eucalyptus Drive,Suite C,6700 Eucalyptus Drive,Suite C,Bakersfield,Bakersfield,CA,CA,93306,93306,(661) 363-8127,Licensed,PHF,16,44880,CO-ED/ADULT
